,FL_DATE,DEP_HOUR,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,DEP_TIME,CRS_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,DISTANCE,CANCELLED,LATITUDE,LONGITUDE,ELEVATION,MESONET_STATION,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,RANGE,WIDTH,WIND_DIR,WIND_SPD,WIND_GUST,VISIBILITY,TEMPERATURE,DEW_POINT,REL_HUMIDITY,ALTIMETER,LOWEST_CLOUD_LAYER,N_CLOUD_LAYER,LOW_LEVEL_CLOUD,MID_LEVEL_CLOUD,HIGH_LEVEL_CLOUD,CLOUD_COVER,ACTIVE_WEATHER
6828,2022-01-01,11,DL,2931,DL,2931,N111NG,LGA,IAH,2022-01-01 11:07:00,2022-01-01 10:59:00,12,8,216,1416,0,40.77722,-73.8725,21,LGA,2019,Airbus,BCS1,Medium Range,Narrow-body,170.0,6.0,0.0,0.75,10.61,8.89,89.09,29.83,200.0,1.0,1.0,0.0,0.0,4.0,1.0
6829,2022-01-01,19,DL,2932,DL,2932,N388DN,MCO,LGA,2022-01-01 19:07:00,2022-01-01 17:00:00,8,127,125,950,0,28.429445,-81.30889,96,MCO,2019,Airbus,A321,Medium Range,Narrow-body,220.0,13.0,0.0,10.0,28.28,16.11,47.62,30.03,4600.0,1.0,1.0,0.0,0.0,1.0,0.0
6830,2022-01-01,7,DL,2933,DL,2933,N351DN,PBI,ATL,2022-01-01 07:01:00,2022-01-01 07:00:00,12,1,80,545,0,26.683056,-80.09556,19,PBI,2018,Airbus,A321,Medium Range,Narrow-body,150.0,3.0,0.0,10.0,22.22,20.0,87.24,30.09,2500.0,1.0,1.0,0.0,0.0,1.0,0.0
6831,2022-01-01,7,DL,2934,DL,2934,N820DN,RSW,MSP,2022-01-01 07:30:00,2022-01-01 07:30:00,13,0,185,1416,0,26.536112,-81.75528,30,RSW,2014,Boeing,B739,Medium Range,Narrow-body,0.0,0.0,0.0,8.0,18.89,17.78,93.26,30.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6832,2022-01-01,5,DL,2935,DL,2935,N981AT,BWI,ATL,2022-01-01 05:56:00,2022-01-01 06:00:00,15,-4,93,577,0,39.175835,-76.66889,146,BWI,2002,Boeing,B712,Short Range,Narrow-body,120.0,3.0,0.0,0.12,10.61,10.0,96.0,29.86,200.0,1.0,1.0,0.0,0.0,0.0,1.0
6833,2022-01-01,17,DL,2936,DL,2936,N927DZ,ATL,BHM,2022-01-01 17:59:00,2022-01-01 17:44:00,12,15,27,134,0,33.636665,-84.42778,1026,ATL,2019,Boeing,B739,Medium Range,Narrow-body,220.0,10.0,15.0,6.0,21.11,19.39,89.9,29.92,1200.0,3.0,1.0,0.0,0.0,4.0,1.0
6834,2022-01-01,10,DL,2937,DL,2937,N944AT,ATL,CMH,2022-01-01 10:11:00,2022-01-01 09:44:00,14,27,60,447,0,33.636665,-84.42778,1026,ATL,1999,Boeing,B712,Short Range,Narrow-body,220.0,9.0,17.0,10.0,21.72,18.89,83.93,29.92,1700.0,4.0,1.0,0.0,1.0,4.0,0.0
6835,2022-01-01,9,DL,2939,DL,2939,N965AT,ATL,DAB,2022-01-01 09:53:00,2022-01-01 09:55:00,19,-2,56,366,0,33.636665,-84.42778,1026,ATL,2001,Boeing,B712,Short Range,Narrow-body,220.0,9.0,0.0,10.0,21.72,18.89,83.93,29.93,700.0,3.0,1.0,0.0,0.0,4.0,0.0
6836,2022-01-01,12,DL,2939,DL,2939,N965AT,DAB,ATL,2022-01-01 12:05:00,2022-01-01 12:10:00,12,-5,59,366,0,29.18,-81.05805,34,DAB,2001,Boeing,B712,Short Range,Narrow-body,200.0,3.0,0.0,3.0,18.28,17.78,96.9,30.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6837,2022-01-01,22,DL,2942,DL,2942,N819DN,ATL,PHL,2022-01-01 22:46:00,2022-01-01 22:45:00,33,1,91,666,0,33.636665,-84.42778,1026,ATL,2014,Boeing,B739,Medium Range,Narrow-body,200.0,10.0,19.0,10.0,24.39,16.72,62.3,29.81,2800.0,4.0,1.0,1.0,1.0,3.0,0.0
6838,2022-01-01,15,DL,2943,DL,2943,N342NB,MSO,MSP,2022-01-01 15:35:00,2022-01-01 15:05:00,47,30,127,1013,0,46.91639,-114.09055,3206,MSO,2002,Airbus,A319,Medium Range,Narrow-body,110.0,7.0,0.0,10.0,-17.22,-20.0,78.95,30.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6839,2022-01-01,12,DL,2943,DL,2943,N342NB,MSP,MSO,2022-01-01 12:44:00,2022-01-01 11:35:00,11,69,146,1013,0,44.881943,-93.221664,841,MSP,2002,Airbus,A319,Medium Range,Narrow-body,330.0,9.0,0.0,10.0,-22.78,-27.22,66.99,30.17,14000.0,1.0,0.0,1.0,0.0,3.0,0.0
6840,2022-01-01,0,DL,2944,DL,2944,N340DN,ATL,MCI,2022-01-01 00:00:00,2022-01-01 12:15:00,0,0,0,692,2,33.636665,-84.42778,1026,ATL,2018,Airbus,A321,Medium Range,Narrow-body,,,,,,,,,,,,,,,
6841,2022-01-01,0,DL,2944,DL,2944,N340DN,MCI,ATL,2022-01-01 00:00:00,2022-01-01 14:35:00,0,0,0,692,2,39.2975,-94.71389,1026,MCI,2018,Airbus,A321,Medium Range,Narrow-body,,,,,,,,,,,,,,,
6842,2022-01-01,12,DL,2945,DL,2945,N380DN,ATL,PBI,2022-01-01 12:41:00,2022-01-01 12:45:00,12,-4,81,545,0,33.636665,-84.42778,1026,ATL,2019,Airbus,A321,Medium Range,Narrow-body,200.0,8.0,0.0,10.0,21.11,18.89,87.14,29.93,1800.0,1.0,1.0,0.0,0.0,3.0,0.0
6843,2022-01-01,16,DL,2945,DL,2945,N380DN,PBI,ATL,2022-01-01 16:04:00,2022-01-01 16:00:00,23,4,77,545,0,26.683056,-80.09556,19,PBI,2019,Airbus,A321,Medium Range,Narrow-body,170.0,11.0,0.0,10.0,26.72,18.89,62.17,30.11,3100.0,1.0,1.0,0.0,0.0,2.0,0.0
6844,2022-01-01,9,DL,2947,DL,2947,N383DN,PDX,SEA,2022-01-01 09:34:00,2022-01-01 09:20:00,28,14,37,129,0,45.58861,-122.59695,31,PDX,1999,Boeing,B738,Medium Range,Narrow-body,120.0,8.0,0.0,10.0,-3.28,-10.0,59.71,30.26,3500.0,1.0,1.0,0.0,0.0,1.0,0.0
6845,2022-01-01,0,DL,2950,DL,2950,N327DN,DTW,GRR,2022-01-01 00:00:00,2022-01-01 21:20:00,0,0,0,120,1,42.2125,-83.35333,645,DTW,2017,Airbus,A321,Medium Range,Narrow-body,,,,,,,,,,,,,,,
6846,2022-01-01,8,DL,2952,DL,2952,N991AT,ATL,MYR,2022-01-01 08:00:00,2022-01-01 08:10:00,14,-10,45,317,0,33.636665,-84.42778,1026,ATL,2002,Boeing,B712,Short Range,Narrow-body,210.0,10.0,0.0,10.0,21.11,18.89,87.14,29.93,700.0,3.0,1.0,0.0,0.0,4.0,0.0
6847,2022-01-01,17,DL,2955,DL,2955,N320US,ATL,DAB,2022-01-01 17:43:00,2022-01-01 17:45:00,32,-2,54,366,0,33.636665,-84.42778,1026,ATL,1991,Airbus,A320,Medium Range,Narrow-body,220.0,10.0,15.0,6.0,21.11,19.39,89.9,29.92,1200.0,3.0,1.0,0.0,0.0,4.0,1.0
6848,2022-01-01,8,DL,2956,DL,2956,N393DN,DTW,MCO,2022-01-01 08:28:00,2022-01-01 08:30:00,11,-2,130,957,0,42.2125,-83.35333,645,DTW,2019,Airbus,A321,Medium Range,Narrow-body,350.0,3.0,0.0,4.0,6.11,3.28,82.04,29.69,600.0,1.0,1.0,0.0,0.0,4.0,1.0
6849,2022-01-01,12,DL,2956,DL,2956,N393DN,MCO,DTW,2022-01-01 12:33:00,2022-01-01 12:40:00,15,-7,124,957,0,28.429445,-81.30889,96,MCO,2019,Airbus,A321,Medium Range,Narrow-body,180.0,5.0,0.0,9.0,18.89,17.78,93.26,30.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6850,2022-01-01,19,DL,2957,DL,2957,N103DU,MSY,JFK,2022-01-01 19:49:00,2022-01-01 19:59:00,14,-10,146,1182,0,29.993334,-90.25916,4,MSY,2018,Airbus,BCS1,Medium Range,Narrow-body,190.0,12.0,23.0,10.0,27.22,21.72,71.92,29.82,2400.0,3.0,1.0,0.0,0.0,3.0,0.0
6851,2022-01-01,8,DL,2958,DL,2958,N307DX,ATL,PBI,2022-01-01 08:50:00,2022-01-01 08:55:00,13,-5,81,545,0,33.636665,-84.42778,1026,ATL,2016,Airbus,A321,Medium Range,Narrow-body,210.0,10.0,0.0,10.0,21.11,18.89,87.14,29.93,700.0,3.0,1.0,0.0,0.0,4.0,0.0
6852,2022-01-01,11,DL,2958,DL,2958,N307DX,PBI,ATL,2022-01-01 11:53:00,2022-01-01 11:59:00,12,-6,80,545,0,26.683056,-80.09556,19,PBI,2016,Airbus,A321,Medium Range,Narrow-body,0.0,0.0,0.0,4.0,18.89,18.89,100.0,30.08,2300.0,1.0,1.0,0.0,0.0,1.0,1.0
6853,2022-01-01,6,DL,2961,DL,2961,N377DA,TLH,ATL,2022-01-01 06:22:00,2022-01-01 06:25:00,10,-3,43,223,0,30.396667,-84.35083,81,TLH,1999,Boeing,B738,Medium Range,Narrow-body,180.0,7.0,0.0,10.0,22.22,20.61,90.59,30.03,1200.0,1.0,1.0,0.0,0.0,4.0,0.0
6854,2022-01-01,0,DL,2962,DL,2962,N934AT,ATL,MYR,2022-01-01 00:00:00,2022-01-01 13:15:00,0,0,0,317,1,33.636665,-84.42778,1026,ATL,2000,Boeing,B712,Short Range,Narrow-body,,,,,,,,,,,,,,,
6855,2022-01-01,21,DL,2963,DL,2963,N394DA,ATL,TLH,2022-01-01 21:05:00,2022-01-01 21:10:00,16,-5,43,223,0,33.636665,-84.42778,1026,ATL,2000,Boeing,B738,Medium Range,Narrow-body,200.0,8.0,0.0,10.0,24.39,17.22,64.31,29.82,4500.0,3.0,1.0,1.0,1.0,3.0,0.0
6856,2022-01-01,15,DL,2964,DL,2964,N117DU,AUS,BOS,2022-01-01 15:12:00,2022-01-01 14:44:00,12,28,184,1698,0,30.194445,-97.67,542,AUS,2019,Airbus,BCS1,Medium Range,Narrow-body,200.0,6.0,0.0,7.0,22.22,20.0,87.24,29.68,12000.0,2.0,0.0,1.0,0.0,4.0,0.0
6857,2022-01-01,11,DL,2966,DL,2966,N106DU,MSY,JFK,2022-01-01 11:40:00,2022-01-01 11:25:00,9,15,142,1182,0,29.993334,-90.25916,4,MSY,2019,Airbus,BCS1,Medium Range,Narrow-body,170.0,11.0,18.0,10.0,23.89,21.72,87.68,29.85,1400.0,3.0,1.0,0.0,0.0,4.0,0.0
6858,2022-01-01,16,DL,2967,DL,2967,N896AT,ATL,HSV,2022-01-01 16:23:00,2022-01-01 16:20:00,11,3,35,151,0,33.636665,-84.42778,1026,ATL,2005,Boeing,B712,Short Range,Narrow-body,210.0,5.0,0.0,3.0,21.72,18.89,83.93,29.94,1700.0,3.0,1.0,0.0,0.0,4.0,1.0
6859,2022-01-01,17,DL,2967,DL,2967,N896AT,HSV,ATL,2022-01-01 17:06:00,2022-01-01 17:10:00,10,-4,31,151,0,34.637222,-86.775,629,HSV,2005,Boeing,B712,Short Range,Narrow-body,220.0,20.0,25.0,10.0,24.39,18.28,68.73,29.8,2800.0,4.0,1.0,0.0,1.0,3.0,0.0
6860,2022-01-01,16,DL,2969,DL,2969,N103DU,JFK,MSY,2022-01-01 16:13:00,2022-01-01 16:18:00,23,-5,186,1182,0,40.64,-73.77861,13,JFK,2018,Airbus,BCS1,Medium Range,Narrow-body,190.0,9.0,0.0,0.5,10.0,10.0,100.0,29.83,300.0,2.0,1.0,1.0,0.0,4.0,1.0
6861,2022-01-01,8,DL,2971,DL,2971,N934AT,ATL,CLT,2022-01-01 08:51:00,2022-01-01 08:55:00,15,-4,48,226,0,33.636665,-84.42778,1026,ATL,2000,Boeing,B712,Short Range,Narrow-body,210.0,10.0,0.0,10.0,21.11,18.89,87.14,29.93,700.0,3.0,1.0,0.0,0.0,4.0,0.0
